;text
10;AP - The hits and runs kept coming, spinning by on the scoreboard as fast as symbols on a slot machine. It wasn't just a rout, it was an epic defeat, the most one-sided in the 101-year history of the New York Yankees. Cleveland's 22-0 victory Tuesday night matched the biggest post-1900 shutout margin in the major leagues, Pittsburgh's win at the Chicago Cubs on Sept. 16, 1975.
11;"washingtonpost.com - When WHUR launched ""high definition"" digital radio this year, it advertised the move several times an hour on air. It slapped the ""HD Radio"" logo on its letterhead and employee jackets. It drove around town in a specially outfitted van inviting people to listen to the crisp, no-static sound. And it tutored consumer electronics retailers about the technology."
12;GEORGE TOWN, Cayman Islands - A strengthened Hurricane Ivan headed toward the tip of western Cuba with 160 mph winds Monday after pummeling the Cayman Islands with flooding that swamped homes and fierce winds that ripped off roofs.    The slow-moving, extremely dangerous Category 5 storm, one of the strongest on record to hit the region, killed at least 68 people across the Caribbean before reaching the Caymans, and threatens millions more in its projected path...
13;Google Toolbar Security Warning\\As many of the readers of Search Engine Journal (including myself) probably have the Google Toolbar installed on your machines, we thought that this warning is quite relevant. The Google Toolbar apparently has a security hole which has been posted on SecurityTracker.com. \\It is reported that the ...
14;WASHINGTON - Drafts of a report from the top U.S. inspector in Iraq conclude there were no stockpiles of weapons of mass destruction, but say there are signs the fallen Iraqi President Saddam Hussein had dormant programs he hoped to revive at a later time, according to people familiar with the findings...
15;"Chicago Cubs shortstop Nomar Garciaparra expects to return to the lineup tonight after being out since Sept. 11 with a strained groin. Manager Dusty Baker said the plan is to play Garciaparra tonight, rest him for tomorrow's afternoon game, and then start him again Friday in New York.  quot;Hopefully, knock on wood, he can play every game after that, quot; Baker ..."
16;TORONTO -- It may be Canada's game -- with an emphasis on may -- but the Czechs like their chances. They've got former Bruin Rosie Ruzicka behind their bench, in the dual role of good-guy coach/good luck charm, and they have the hope of Jaromir Jagr playing at close to full speed.
17;Morgan McClure Motorsports fired NASCAR driver Jimmy Spencer yesterday. Spencer, who finished 29th in Sunday's Subway 500 at Martinsville (Va.) Speedway, was arrested and accused of interfering with police officers that night as they attempted to serve a warrant on his son. Police went to Spencer's home in Cornelius, N.C. Sunday night to arrest James Jonathan Spencer Jr. ,18, on ...
18;Opera, Mozilla Ready for Prime Time\\Early Internet surfers, which of course means something less than a decade ago for most of us, will remember the days when Netscape was the only real browser in town. For those who don't remember, there was a time when Netscape was for sale in ...
19;Braves right fielder J.D. Drew cut his head when he hit it on the dugout railing following batting practice and was removed from the starting lineup against Colorado. Drew was taken to Piedmont Hospital in Atlanta, where he received two staples to close the wound. He returned to Turner Field and was in uniform by the fourth inning but did ...
20;BOSTON - Curt Schilling became the first 20-game winner in the major leagues this season, reaching the mark for the third time in four years and leading the Boston Red Sox to an 11-4 victory over the Tampa Bay Devil Rays on Thursday night.    Kevin Millar and Johnny Damon each homered and drove in four runs, and Boston moved within 3 1/2 games of the first-place New York Yankees in the AL East...
21;SOUTH WILLIAMSPORT, Pa. -- Texas is two steps away from a world championship. Chance Murski hit a grand slam and Randal Grichuk hit a three-run homer to lead Richmond, Texas, to the United States final with an 8-2 win over Morganton, N.C., last night at the Little League World Series.
22;Job Search Service Finds Careers for Bloggers\\Well, I knew all of this blogging, typing, reading and sitting at home for a year learning about blogging would pay off one day! Blogger-Jobs.com, a Web site launched last month by veteran weblogger Jeremy Wright and www.recruiting.com, provides a recruitment service that matches ...
23;"SAN FRANCISCO - On Tuesday, executives from Sun Microsystems Inc. will head to Wall Street, hoping to convince customers and partners in the financial industry that the company continues to be viable in the industry that Sun President and Chief Operating Officer Jonathan Scwhartz affectionately refers to as ""the swamp from which we spawned."" Sun is expected to make a number of new product and partnership announcements during an event for customers, press and analysts at the W Hotel in New York City on Tuesday."
24;KASHGAR, China -- Impatiently, Gopur Samat stood at the ready as a nurse stripped the bandage from his right eye and steered his attention toward a chart 20 feet away. Smiling, Gopur pointed up. Still smiling as the nurse gestured toward another symbol, he pointed down. Then left, then right. Gopur, 68, suddenly could see clearly again.
25;BOSTON - Tens of millions of people will cast their votes Nov. 2 in one of the most hotly contested presidential elections in recent U.S. history. But voters across the U.S. will encounter different voting technologies and procedures, with many counties nationwide clinging to punchcard, lever machine and even paper ballots, and the transition to electronic voting moving slowly in many states.
26;MOSCOW -- Police intercepted a car packed with explosives in central Moscow yesterday and said they had thwarted a terrorist attack, Russian media reported. A suspect told investigators he was being paid \$1,000 to take the car to a major thoroughfare used by President Vladimir Putin, news agencies and television said, quoting security forces. The suspect died from a heart ...
27;DUBAI, United Arab Emirates - A Web site linked to an Iraqi militant group showed a video of what was purported to be the killing of 12 Nepalese workers by militants who had kidnapped them.    The Nepalese Foreign Ministry said it could not confirm the report of the hostages' deaths...
28;By Serena Gordon, HealthDay Reporter    HealthDayNews -- Depending on the type of sound you hear -- such as speech or music -- one ear may be more adeptly processing that information and sending it to a part of the brain specialized to hear that type of sound.    That's the conclusion of a study in the Sept...
29;"ST. LOUIS -- Marshall Faulk and Emmitt Smith, members of what Faulk jokingly referred to as the  quot;Over 30 club, quot; quieted any talk about last hurrahs. Faulk, 31, shared time with St. Louis Rams first-round pick Steven Jackson in yesterday's 17-10 victory over the Arizona Cardinals. But Faulk, who had two knee operations in the last year, carried the load ..."
30;"Forbes.com - AVOCENT (27, AVCT) is by far the market leader in KVM (keyboard, video, monitor) devices, which allow technicians to run multiple servers using a single computer terminal. Avocent has outsize gross margins (58) on this stuff. In the first half sales rose 23 to  #36;174 million, though it lost  #36;5 million due to an acquisitions-related charge. The stock's multiple: 73."
31;AP - Once again, the Seattle Seahawks won with their dominant defense. This time, they ended an NFL record streak. Matt Hasselbeck threw for 254 yards with two touchdowns, Shaun Alexander scored three TDs and Seattle's defense was magnificent in a 34-0 win over the San Francisco 49ers on Sunday.
32;"By KOZO MIZOGUCHI    TOKYO (AP) -- Japan's capital has a 90 percent chance of being devastated by a major earthquake some time in the next 50 years, according to a study by a government panel.    The study, released earlier this week, marked the latest attempt by scientists to address one of this quake-prone country's most pressing concerns: when the next ""Big One"" would level one of the world's most densely populated cities..."
33;BESLAN, Russia - Russian soldiers fled as shooting broke out in the spasm of violence that ended the school siege here, and unprepared special forces were forced to borrow bullets from armed locals who had rushed to the scene.    As Beslan buried more victims Friday, a week after the bloodbath at School No...
34;MIAMI -- In a shootout worthy of Dan Marino and Jim Kelly, Drew Bledsoe threw four touchdown passes, and the Buffalo Bills forced seven Miami turnovers to maintain their late-season surge by beating A.J. Feeley and the Dolphins, 42-32, yesterday. Feeley threw three touchdown passes, all in the first 12 1/2 minutes. He also had a hand in six turnovers, ...
35;BOSTON - Just like the game that seemed it would never end, Boston's season just won't end. David Ortiz's RBI single on the 471st pitch of the game with two outs in the 14th inning capped a second straight amazing comeback in less than 24 hours Monday night and gave the Red Sox a 5-4 victory over the New York Yankees in the AL championship series...
36;On his first birthday Thursday, giant panda cub Mei Sheng delighted visitors by playing for the first time in snow delivered to him at the San Diego Zoo. The cub has become quite a little celebrity since his birth a year ago. He is only the second panda born in the United States to survive to his first birthday.
37;Trainer Nick Zito has come to Lone Star Park with Birdstone, an outstanding 3-year-old who has a shot in Saturday's \$4 million Breeders' Cup Classic. It is less known that Zito also brought two good 2-year-olds, a colt, Sun King, and a filly, In The Gold, but they are legitimate contenders in the juvenile divisions.
38; Video gaming has long suffered a reputation for creating sedentary and solitary zombies, pasty and pudgy except for their muscular thumbs. A growing number of games, however, are getting gamers off their couches and on their feet, not only shouting, gyrating, singing and dancing, but sometimes -- gasp! -- playing nicely with others, face-to-face, in groups.
39;Blogs Are Great for Search Engine Ranking\\Blogs have had a profound effect on communications and marketing since their development and early adoption but are still a mystery to many. According to Google Definitions (enter: define:Blog into Google search window), Blogs can be several things to different people but the simplest ...
40;"Beware, titans of the legal world. There may be a new force in town.  quot;I'm going to hire the law firm of Kapler and Nixon, quot; Red Sox general manager Theo Epstein said after outfielders Gabe Kapler and Trot Nixon yesterday won the appeals of their three-game suspensions and \$1,000 fines for their roles in the July 24 bench-clearing incident with ..."
41;"SPACE.com - When was the last time you read a good mystery novel, or munched popcorn while watching a mystery flick at your local theater? Odds are, either of these entertainments set you back at least  #36;10 and lasted a few hours. For a lesser price, we're all participating in cracking a real mystery #x2014;what's beneath the clouds that cover Saturn's moon, Titan?"
42;MacCentral - Apple on Monday released Security Update 2004-09-30, which fixes two AFP Server and CUPS issues as well as problems with NetInfoManager, postfix and the ServerAdmin component in Mac OS X Server v10.2.8 and v10.3.5. In addition, a QuickTime heap buffer overflow problem that could allow someone to execute code hidden in a BMP has been repaired. The CUPS and QuickTime fixes apply to Mac OS X v10.3.5 and v10.2.8 as well as the Server versions of each while the others apply only to the user and Server editions of v10.3.5.
43;"The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area."
44;KINGSTON, Jamaica -- Waves two stories high crashed on Jamaica's eastern shore yesterday, flooding homes and washing away roads as Hurricane Ivan's ferocious winds and pounding rains began to lash the island and threatened a direct hit on its densely populated capital. The death toll elsewhere in the Caribbean rose to at least 33.
45;NEW YORK - Sen. John Kerry said Monday that mistakes by President Bush in invading Iraq could lead to unending war and that no responsible commander in chief would have waged the war knowing Saddam Hussein didn't possess weapons of mass destruction and wasn't an imminent threat to the United States...
46;AP - The Boston Red Sox led the St. Louis Cardinals 2-0 after one inning, as Boston ace Curt Schilling tested his sutured ankle Sunday in Game 2 of the 100th World Series. With Matt Morris on the mound, St. Louis was trying to even the series after Boston took Saturday's opener.
47;ATHENS, Greece - The kid couldn't catch the Thorpedo - and he won't be catching Mark Spitz, either. Michael Phelps' quest for seven gold medals ended after just three events, doomed by another bronze Monday night in the most anticipated race at the Olympic pool - the head-to-head showdown with Australia's Ian Thorpe in the 200-meter freestyle...
48;Negotiations over the embattled city of Najaf took a new and complicated turn Thursday when an official of Iraq's interim government issued fresh demands to be met by rebellious Shiite cleric Moqtada Sadr, accompanied by warnings of an imminent military offensive at the shrine where Sadr's militia is holed up.
49;An emotional letdown? For the first World Series in Boston in 18 years? Ask the Red Sox if they might take the Cardinals lightly tonight in Game 1 of the 100th World Series, and they look at you like they did when they first laid eyes on Pedro Martinez's 29-inch-tall actor pal, Nelson de la Rosa.
50;ATLANTA - Lawyers for Baltimore Ravens running back Jamal Lewis are negotiating a plea deal in his drug conspiracy case that would allow him to serve jail time in the offseason, a source close to the case told The Associated Press on Saturday.    Under a deal being discussed with federal prosecutors, Lewis would serve four to six months - possibly split between jail and a halfway house - after the season, said the source, who spoke on condition of anonymity...
51;WebMasterWorld Conference Coverage\\I just wanted to let everyone know that I will be attending the WebmasterWorld's Conference. I hope to be able to provide the conference coverage I have in the past for this conference, I actually plan on it, so stay tuned. The conference begins tomorrow morning and ends ...
52;There was a serious chill in the air, the weather more suited for downhill skiing than baseball, but being the Fall Classic and all, preparations were being made to the diamond at Fenway Park yesterday. Bases were 90 feet apart and the mound 60 feet 6 inches from home plate -- surely the recipe for a conformity to make it ...
53;When he finally flopped into bed well after 2 in the morning, naturally Red Sox manager Terry Francona couldn't sleep. His brain kicked into overdrive as soon as he lay down, and as the details of Game 1 of the World Series whirred through his head at near warp speed, he remained stuck on one particular juncture of the victory ...
54;SPACE.com - The center of our galaxy is approximately \  27,000 light-years away in the direction of the constellation Sagittarius. At \  its core, as scientist have known for some time, lies a supermassive black hole \  surrounded by millions of stars, all huddled far more closely than in the galactic \  outskirts where our Sun resides.
55;In a season filled with uncertainty and unpredictable play, the only dependable part of the Celtics' game-night drama has been the raised voice of coach Doc Rivers. With a rant that rivaled Rick Pitino in duration and decibel levels, Rivers scolded Boston for failing to play together last night at the Wachovia Center. In many ways, the Celtics' ...
56;Following is the Globe Top 20 in EMass for girls' soccer. No. Team Record Last 1. Belmont 14-0-1 1 2. Oliver Ames 13-1-0 2 3. Lynnfield 15-0-0 3 4. Norwell 15-0-0 5 5. Andover 14-1-0 4 6. Bishop Feehan 11-1-1 6 7. Old Rochester 14-1-1 7 8. Marshfield 10-1-4 9 9. Wellesley 9-0-5 8 10. Weymouth 12-1-2 10 11. Rockland ...
57;" LOS ANGELES (Reuters) - Over the next three days, in eight  languages and 27 countries, Microsoft Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=MSFT.O qtype=sym infotype=info qcat=news""&gt;MSFT.O&lt;/A&gt; will  release its most important program of 2004 -- not a new version  of Windows or Office, but an epic tale of a super-soldier  defending the Earth from a mysterious alien force."
58;MacCentral - The Digital Video Broadcasting Steering Board (DVB) has approved a revision to its implementation guidelines for audio and video codecs over a broadcast Transport Stream. The revision includes two technologies supported by Apple Computer Inc., H.264 or Advanced Video Codec (AVC) and High Efficiency AAC (HE-AAC) audio codecs.
59;WASHINGTON - Americans' supply of flu vaccine was abruptly cut in half Tuesday, prompting the government to ask most healthy adults to delay or skip flu shots so that the elderly and others most at risk from influenza can get scarce supplies.    British regulators unexpectedly shut down a major flu-shot supplier Tuesday, prompting a record shortage in this country just as flu season is about to begin...
60;SAN FRANCISCO - Though a Friday patent lawsuit verdict against Sun Microsystems Inc. could potentially have a wide-ranging impact on the computer industry, the ruling appears unlikely to affect three of the world's largest IT companies, who have licensed the technology in question. Hewlett-Packard Co., IBM Corp. and Microsoft Corp. are licensees of the software patents in question, the patents' owner, Eastman Kodak Co., confirmed Monday.
61;"Awarding the iMac G5 five stars, PC Magazine writes,  #147;Pros: Simple, stunning all-in-one design. Quiet. Just one cord (for power), thanks to optional Bluetooth keyboard and mouse. More compact than other all-in-one desktops. Gorgeous 20-inch screen and desktop-caliber hard drive make machine more usable than a desktop-replacement notebook, for the same money and space use #133; Bottom Line: Apple has another design coup on its hands with the Apple iMac G5. Its clean, simple look  #151; imagine if an iPod grew into a full-size, self-contained PC  #151; exclaims,  #145;It #146;s about time they designed a computer like this. #146; #148; Sep 21"
62;AP - The Japanese won the pregame home run derby. Then the game started and the major league All-Stars put their bats to work. Back-to-back home runs by Moises Alou and Vernon Wells in the fourth inning and by Johnny Estrada and Brad Wilkerson in the ninth powered the major leaguers past the Japanese stars 7-3 Sunday for a 3-0 lead in the eight-game series.
63;Blog Search Blabble.com Takes New Approach\\A new start-up joining the ranks of weblog tools, Blabble is aimed at the corporate market. According to an Internet Retailer article, the service will be fee-based when it officially launches in October. A beta is currently available free online. The article reads like Blabble ...
64;"NewsFactor - First ""Windows,"" now ""Excel."" New York City-based software company Savvysoft says Microsoft (Nasdaq: MSFT) has demanded that it drop the name Excel from its TurboExcel product, which makes Microsoft's Excel portable to other systems like Linux. Trouble is, Microsoft does not yet own the trademark to the name ""Excel."""
65;NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices Tuesday allowed investors to put aside worries about inflation, at least for the short term.    With gasoline prices falling to eight-month lows, the Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices...
66;TORONTO -- Last week of August, the playoff race is heating up, and a Red Sox player's thoughts turn to . . . football? In some ways, these guys are no different from the typical sports fan on the cusp of an NFL season. Sure, they're focused on the business at hand, winning a spot in their own postseason tournament ...
67;The only putt Mike Weir made yesterday in the Canadian Open came at a good time, a 6-footer for birdie on the 18th hole for a 1-under-par 70 that gave him a three-shot lead and left him in great shape to become the first Canadian in 50 years to win his national championship.
68;Following is the Globe Top 20 in EMass for boys' soccer. No. Team Record Last 1. Stoneham 14-0-1 1 2. Framingham 10-0-5 2 3. Hingham 15-0-2 6 4. Weymouth 10-1-4 4 5. Medford 10-3-2 13 6. Woburn 10-2-2 10 7. Newton North 10-4-2 5 8. Everett 10-3-2 2 9. Lincoln-Sudbury 12-1-2 7 10. Dartmouth 14-1-0 9 11. BC High 7-1-6 ...
69;A shade more than 14 months ago, David Wells appeared at a news conference in Fenway Park, not far away from the room where he greeted reporters yesterday. Back then, Wells was a card-carrying member of the Evil Empire, a true believer in the Curse of the Bambino, on the verge of pitching Game 3 of the Red Sox-Yankees AL ...
70;"If you read the recent excerpt of ""Namath"" in Sports Illustrated and were put off by the apparent focus on the iconic Broadway Joe's personal life, be comforted in the knowledge that Mark Kriegel's 441-page biography includes plenty of football, too. The book is exhaustively researched and includes telling anecdotes from Beaver Falls, Pa., to Tuscaloosa, Ala., to New York."
71;AP - The infield at Fenway Park was covered with a dirty white tarp on a dreary day. Unless the Boston Red Sox start winning soon, the gloom will last all winter. The Red Sox returned home Thursday after losing the first two games of the AL championship series to the Yankees in New York. As its workout began, Boston announced ace Curt Schilling's ailing ankle will prevent him from pitching Game 5 and perhaps the rest of the postseason.
72;By FADI KHALIL    SOUTHERN SHOUNEH, Jordan (AP) -- Jordan has gone from providing one computer for every 82 students to one for every 17 in its drive to become a leader in information technology, the minister in charge of the campaign told a conference on Tuesday.    Minister of Information and Communication Technology Fawaz Zu'bi said the dramatic increase in access to computers for students was logged last year...
73;NAJAF, Iraq - Militiamen loyal to rebel Shiite cleric Muqtada al-Sadr on Friday removed weapons from the revered Imam Ali Shrine in Najaf in a step aimed at ending the 2-week-old uprising centered on the holy site.    Al-Sadr's followers remained in control of the walled shrine compound, but kept their guns outside...
74;Hitting President Bush on the issues of jobs and the war in Iraq, Democratic presidential candidate John Kerry is moving aggressively in the face of polls showing his candidacy lagging.    Campaigning in North Carolina, a state hurt by job losses, Kerry says he would end tax breaks for companies that outsource overseas...
75;ST. LOUIS -- It was bad enough that Bill Belichick had to design a defensive game plan with Asante Samuel and Randall Gay at cornerback. But four minutes into the game, the Patriots coach watched in dismay as Samuel went off with a shoulder injury that sent him to the locker room.
76;The Jacksonville Jaguars now have lost both starting defensive ends for the season. The Jags placed Lionel Barnes on injured reserve yesterday with a shoulder injury. Barnes hurt his shoulder Sept. 19 against Denver. He missed one game but returned to the starting lineup two weeks ago against Indianapolis. He did not play last week at San Diego.
77;James Atkins knows his players, in some cases a little too well. Atkins is a detective in the Chelsea police department and in charge of the gang unit. He's also the head football coach at Chelsea High and if you're looking for the most pleasant surprise of the 2004 season, look no farther than 299 Everett Avenue.
78;"Though the MRI of Bill Mueller's sore right knee showed no apparent damage, the Red Sox third baseman flew to Phoenix yesterday to be examined by Dr. David Zeman , who performed arthroscopic surgery on the knee May 28.  quot;The initial call was pretty good, but the guy's been inside the knee, quot; said manager Terry Francona , who started Kevin ..."
79;"One day after National Hockey League executive vice president and chief legal officer Bill Daly accused the NHL Players Association of engaging  quot;in a charade quot; with regards to negotiating a collective bargaining agreement -- and believes the start of the 2004-05 season is in jeopardy because the union wants to keep status quo -- Bruins owner Jeremy Jacobs said there's ..."
80;"BASEBALL Chicago (AL): Assigned Ps Enemencio Pacheco, David Sanders, and Josh Stewart outright to Charlotte (IL). Chicago (NL): Fined OF Sammy Sosa \$87,400 for arriving late and leaving early for regular-season finale Oct. 3. Cincinnati (NL): Announced 1B Jacob Cruz declined an outright assignment and elected free agency. San Diego (NL): Released P Jay Witasick; assigned OF Kerry Robinson, and ..."
81;SEATTLE - Bob Melvin was fired as manager of the Seattle Mariners on Monday, a day after the team ended the season with its 99th loss.    Melvin, who lasted two seasons, was told of the decision during a morning meeting at Safeco Field, and general manager Bill Bavasi called a news conference later in the day...
82;The Astros lifted a 42-year-old hex when they eliminated the Braves Monday night and advanced past the first round of the playoffs for the first time in franchise history. Houston lifers such as Craig Biggio and Jeff Bagwell were finally liberated from years of postseason futility, but former Yankee Andy Pettitte, already the owner of four World ...
83;NewsFactor - Microsoft (Nasdaq: MSFT) launched its beta version of a new tool that allows users to search from many places on the desktop -- such as Windows, Outlook and Explorer. The MSN Toolbar Suite takes advantage of Microsoft's dominant Windows operating system to provide an ever present search tool to mine for data on a computer's hard drive or information from the Web.
84;PalmSource will ratchet up the competition among wireless OS vendors this week by announcing Cobalt 6.1, the latest version of its mobile operating system. The main emphasis of the new PalmSource OS is on wireless connectivity, putting it on a par with Microsofts Windows Mobile and Nokias Symbian mobile OSes.
85; ATHENS (Reuters) - Greece, an ancient nation, searched its  soul over a new doping scandal on Saturday while Michael  Phelps, a fresh-faced American teenager, prepared to enter the  Olympic record books without having to swim a stroke. The  Olympics started its eighth day with 32 gold medals up for  grabs in what has been dubbed Super Saturday.
86;WASHINGTON - Senator John Kerry, Democratic challenger to U.S. President George Bush, would seek more government involvement on issues such as broadband adoption, cybersecurity and spam, while Bush, if re-elected, would continue to take a more market-driven approach to those issues, a panel of Washington, D.C., technology experts predicted Tuesday.
87;NewsFactor - No one can envy the position of PeopleSoft (Nasdaq: PSFT) executives as they enter their annual Connect user conference this week. Last year's show was dominated by speculation over Oracle's (Nasdaq: ORCL) hostile takeover bid for the company -- a prospect they hoped would be squelched by this year.
88; TORONTO -- Habibullah Abdul Ghafar is drinking black tea and resting after arriving in Canada from Kyrgyzstan, the Central Asian country where he and his family were stranded as refugees. Inside his one-bedroom apartment on the east side of Toronto, the furniture is sparse. A sofa, chair and kitchen table the Canadian government gave them line the room.
89;NewsFactor - Anybody who is anybody in the Web-search realm -- and that list now includes Google, Yahoo (Nasdaq: YHOO), Ask Jeeves (Nasdaq: ASKJ) and Microsoft (Nasdaq: MSFT) -- is acting quickly to stake a claim on the most lucrative piece of real estate in the search world: personal computer users' desktops.
90;NEW ORLEANS - Stragglers streamed toward higher ground Wednesday on highways turned into one-way evacuation routes and surf started eroding beaches as Hurricane Ivan roared toward the Gulf Coast with 135 mph wind and its outer bands darkened the sky.    Ivan could cause significant damage no matter where it strikes, as hurricane-force wind extended up to 105 miles out from the center...
91;Dennis Rodman is thinking about a comeback, and the Denver Nuggets are giving him a shot. The 43-year-old former NBA rebounding champion briefly participated in a pickup game at the Nuggets' facility earlier this week but had to cut short the workout because of an ingrown toenail. General manager Kiki Vandeweghe told Rodman he was welcome to return once the ...
92;Google Enhances Google Local Service\\Google has announced enhancements to its newish Google Local service at http://local.google.com . When you go to the page you'll see a space for what you're looking for and another space for where you'll looking. The results pages is where you'll see the real difference.\\I decided ...
93;"Jodrell Bank Observatory -- European and US radio astronomers have demonstrated a new way of observing the Universe -- through the Internet!     Using cutting-edge technology, the researchers have managed to observe a distant star by using the world's research networks to create a giant virtual telescope. The process has allowed them to image the object with unprecedented detail, in real-time; something which only a few years ago would have been impossible..."
94;AP - Peyton Manning broke one of Dan Marino's records, took a big step toward another and didn't even have to play the whole game to do it. Manning threw for six touchdowns in less than three quarters and raised his season total to 41 scoring passes to lead the Indianapolis Colts past the Detroit Lions 41-9 Thursday.
95;AP - Curt Schilling and Pedro Martinez are revved up. Roger Clemens and Roy Oswalt are rarin' to go. Baseball fans are ready, too. The shadows are getting longer, the leaves are starting to turn and pumpkins are showing up. And that means just one thing: It's October, and it's playoff time!
96;"MacCentral - In late August Aspyr Media Inc. and Wideload Games first announced plans to collaborate on a new game release. On Thursday Aspyr and Wideload Games offered the first details about the game, including platform information and a release schedule. ""Rebel Without A Pulse"" is the game, and it'll be published worldwide for Mac, PC and Xbox consoles in the summer of 2005."
97;"CRAWFORD, Texas - President Bush on Monday denounced campaign commercials aired by outside groups, including an ad that accuses John Kerry of lying about his combat record in Vietnam.   ""That ad and every other ad"" run by such groups have no place in the campaign, Bush said when asked about the commercial sponsored by Swift Boat Veterans For Truth that has roiled the race for the White House..."
98;By Randy Dotinga, HealthDay Reporter    HealthDayNews -- Some people can drink a lot of alcohol without becoming addicted, and specific genes may help explain why, researchers say.    In a new study of Australian twins, scientists found that separate genes appear to be responsible, to some degree, for dependence on alcohol -- addiction -- and how much people drink...
99;" #147;Carrying around a wallet full of pictures of the kids or the dog is so last year, #148; writes Cathy Lu in Digit.  #147;Apple #146;s iPod Photo makes it as easy to look at your most beloved pictures on the go as it is to listen to your favorite tunes. #148; Nov 23"
100;AP - The Chicago Bears played defense the way coach Lovie Smith envisioned, swarming to the ball and making the New York Giants cough it up. Seven sacks and five takeaways brought a 28-20 victory and produced a modest two-game winning streak that didn't appear possible for a team that dropped five of its first six games.
101;Kansas is on top right now, ranked first in the Associated Press preseason Top 25 poll. In the past, such an honor would be regarded with some trepidation since the list of teams that started and ended the season No. 1 is a short one. North Carolina made the run in 1994, Duke in 1992 and UNLV a year before ...
102;"Lycos Europe has recently joined the fight against spam by releasing a screensaver as part of its ""Make Love Not Spam"" campaign, which uses its participants machines to bombard websites that advertise through spam e-mails with data, effectively launching a distributed denial of service attack against them, with the intent being to push up bandwidth bills of the spammers who operate these websites.    Is this an effective new front in the battle against spam?"
